Order Placement Date,Supplier,Product,Ordered Quantity,Delivery Date
12/25/2019,AppleFarm,Apples,550,1/1/2020
12/27/2019,AppleFarm,Apples,50,1/4/2020
1/2/2020,AppleFarm,Apples,40,1/7/2020
1/2/2020,AppleFarm,Apples,300,1/10/2020
1/10/2020,AppleFarm,Apples,300,1/14/2020
1/15/2020,AppleFarm,Apples,300,1/18/2020
1/26/2020,AppleFarm,Apples,300,1/27/2020
2/3/2020,AppleFarm,Apples,40,2/7/2020
2/6/2020,AppleFarm,Apples,100,2/10/2020
2/8/2020,AppleFarm,Apples,50,2/13/2020
2/5/2020,AppleFarm,Apples,750,2/18/2020
2/16/2020,AppleFarm,Apples,750,2/23/2020
3/1/2020,AppleFarm,Apples,100,3/4/2020
2/28/2020,AppleFarm,Apples,1100,3/10/2020
12/27/2019,DairyCorp,Milk,800,1/1/2020
1/9/2020,DairyCorp,Milk,1000,1/15/2020
1/16/2020,DairyCorp,Milk,600,1/21/2020
1/23/2020,DairyCorp,Milk,700,1/28/2020
1/31/2020,DairyCorp,Milk,800,2/6/2020
2/10/2020,DairyCorp,Milk,1500,2/16/2020
2/26/2020,DairyCorp,Milk,1400,3/3/2020
3/7/2020,DairyCorp,Milk,1900,3/12/2020
